LAD22CD,LAD22NM,BNG_E,BNG_N,LONG,LAT,OBJECTID,Shape__Area,Shape__Length,GlobalID
E06000001,Hartlepool,447160,531474,-1.27018,54.67614,1,93717028.4689178,70995.1737762769,2576ba95-3898-4244-ac70-3c4808642baf
E06000002,Middlesbrough,451141,516887,-1.21099,54.54467,2,53881558.2759247,44479.6463704945,b03a3267-2336-4536-90d3-05f179f0777d
E06000003,Redcar and Cleveland,464361,519597,-1.00608,54.56752,3,245069510.006897,96703.5106544218,708a11df-cbc7-4bc4-976b-5509edf2c4fb
E06000004,Stockton-on-Tees,444940,518183,-1.30664,54.55691,4,204932934.937302,123404.959102325,3a4efc85-966a-4ba4-afa4-8ddf4c962afd
E06000005,Darlington,428029,515648,-1.56835,54.53534,5,197477753.555023,107202.299425244,02be29d6-fec1-49df-b81a-df81e66d0678
E06000006,Halton,354246,382146,-2.68853,53.33424,6,79084021.970459,77769.8366156168,28233048-0e71-41b7-a10f-00915be3e43e
E06000007,Warrington,362744,388456,-2.56167,53.39163,7,180627983.012016,114688.093563908,c6cba057-b55e-4f9c-a876-17be9b07c9c8
E06000008,Blackburn with Darwen,369490,422806,-2.4636,53.7008,8,137022093.525848,65284.3735150369,f991dcbc-5952-444d-a323-634319147112
E06000009,Blackpool,332819,436635,-3.02199,53.82164,9,34870852.2283325,34480.7839275111,a380776f-0e0b-4e08-b8f9-363ca8ac35b4
E06000010,"Kingston upon Hull, City of",511894,431650,-0.30382,53.7692,10,71583595.6552734,64680.530906749,dd25f1e2-7835-40da-825e-718687b8a91c
E06000011,East Riding of Yorkshire,488056,443597,-0.66195,53.88112,11,2404768954.86182,504120.094305933,6595fc80-18ed-474e-ae02-4737f6c15eff
E06000012,North East Lincolnshire,523465,404564,-0.13911,53.52327,12,192622985.584915,93246.2876540841,df13c458-e280-480d-a0c3-756df76390dd
E06000013,North Lincolnshire,497800,410993,-0.52407,53.58643,13,846540125.376923,244546.761114545,c7e2eec7-6a71-4062-b14b-bb051f368465
E06000014,York,460864,452589,-1.07375,53.96582,14,271931454.715424,102020.797435209,2186601e-ff06-450a-ab54-8e2b8b79b469
E06000015,Derby,435609,335375,-1.47189,52.91464,15,78031107.3557892,50036.3185804889,d29dab20-d1b5-4772-8a07-f266ae944fb0
E06000016,Leicester,458946,304594,-1.1304,52.63592,16,73342034.1657257,51929.4942082033,91a7f7b7-f3e2-446c-846f-e321f170ce14
E06000017,Rutland,492992,308655,-0.6263,52.66765,17,393748938.333481,125879.320087916,9d9f1d15-11d8-4a84-a410-f00cc48b8437
E06000018,Nottingham,456082,339969,-1.16667,52.95419,18,74613549.3099365,58723.7427401093,3b442135-a931-4256-b4b2-1975ac29314a
E06000019,"Herefordshire, County of",349434,242834,-2.73931,52.08154,19,2179708317.85796,349869.988254535,6c60f4d7-c779-4f14-9282-a8f7d468d388
E06000020,Telford and Wrekin,367035,313057,-2.48941,52.71417,20,290313536.554543,118775.749483715,d9f705ed-bc4c-4faa-ac1a-9a7f41e417a8
E06000021,Stoke-on-Trent,389438,346652,-2.15888,53.01707,21,93448551.6496658,63971.3417170554,5bfccccb-c695-4458-8e9a-65f76ffb9371
E06000022,Bath and North East Somerset,366217,161999,-2.48654,51.35604,22,351123167.510914,141674.070852301,266110cd-d5e7-4f2b-ab9e-5883ac02e222
E06000023,"Bristol, City of",359990,174846,-2.57742,51.47115,23,109666892.551918,109531.617064517,981df48e-d5ba-4af0-acb7-2a98dd298e65
E06000024,North Somerset,347614,166718,-2.75438,51.39706,24,374637219.77409,154748.225043695,21aacee7-c2ba-4c73-8a4f-62d6c40922d4
E06000025,South Gloucestershire,367559,183198,-2.46922,51.54673,25,497050998.431568,143098.847233425,c7606a8d-def3-478a-83db-4467bf0e8585
E06000026,Plymouth,249945,58255,-4.11297,50.40494,26,79849695.3191061,92644.2442555715,c92f235d-b674-42ff-a645-0cc326d00518
E06000027,Torbay,289730,64613,-3.55523,50.47092,27,62886738.7989531,77909.5315513595,8922158f-ad62-4f94-9dd9-73e00297cd43
E06000030,Swindon,418551,186564,-1.73367,51.57763,28,230093343.90052,103011.758683882,e9e850b7-2f56-4a1e-bfb1-ff44f786e770
E06000031,Peterborough,517372,300777,-0.26874,52.59214,29,343378153.586609,112674.360200151,9f6a143b-c5aa-490e-993b-58a294442159
E06000032,Luton,508606,222559,-0.42319,51.89102,30,43352485.6740799,34569.1847138739,e706df2e-426d-4917-9562-dc2a78550cde
E06000033,Southend-on-Sea,587777,186837,0.706923,51.54917,31,41673985.9965286,57782.8327652349,036bc680-4e58-493e-bf43-12b76109536d
E06000034,Thurrock,562123,181590,0.334861,51.50998,32,163837060.033562,115990.648083053,230bb242-c209-4ab2-9e65-643e04a0048c
E06000035,Medway,578207,175198,0.563174,51.44772,33,193714244.411789,249506.805435844,eb2075a5-64e0-4ea9-adeb-dde797492da5
E06000036,Bracknell Forest,488169,168792,-0.73363,51.4113,34,109384217.921951,62507.6688894678,187363be-65a5-4d2c-8aad-58f939af8a40
E06000037,West Berkshire,450575,172095,-1.27364,51.44559,35,704182731.436508,166818.256909513,d6f3e0ee-103f-4841-8710-a27a3a61421d
E06000038,Reading,470226,173154,-0.99071,51.45302,36,40397937.1150055,39327.6361285706,e695b770-898c-4d44-bf10-356a33275e23
E06000039,Slough,498920,179246,-0.57617,51.5035,37,32542015.6781998,44179.9803340002,d5683372-92bb-41b3-b90b-fd2c59177451
E06000040,Windsor and Maidenhead,492079,176541,-0.67541,51.48034,38,198427158.641678,114827.85425453,226cffd6-6002-4e4f-9a71-ed365a2e573b
E06000041,Wokingham,476624,169902,-0.89935,51.42296,39,178969062.886101,86869.6892364658,d7d34f34-87f3-4c13-91e2-2e57abd3b94b
E06000042,Milton Keynes,486408,242308,-0.7407,52.07241,40,308626721.690674,102957.957280917,9d0d2c24-24a2-4edc-9b78-e1d91a8e0072
E06000043,Brighton and Hove,530279,106850,-0.15079,50.8465,41,82832986.3240891,59517.9984461413,d9b89603-381e-468b-b60b-9b65c86c9cc4
E06000044,Portsmouth,465619,101352,-1.07006,50.808,42,40381702.3692169,62708.2022736547,f1dc35da-acbf-4a72-91d5-8cdfcb73475f
E06000045,Southampton,442303,113700,-1.39952,50.9212,43,49880631.5834122,61542.7955829543,a8708514-6c1b-4b49-9290-d07a3ec7fe59
E06000046,Isle of Wight,447183,85949,-1.33366,50.67129,44,379620110.286783,210137.73230538,b8f31dd0-aeb3-4158-b1d5-6ebdeabe481f
E06000047,County Durham,410381,532242,-1.8405,54.68513,45,2231432414.12584,315226.483631744,98eeb2c9-c800-4e1f-9ffd-c3f9e2e6f37b
E06000049,Cheshire East,380510,363462,-2.29299,53.16793,46,1166357340.22478,301202.123887001,d9c8858a-2116-4d98-b008-b6c215e30e10
E06000050,Cheshire West and Chester,353097,363145,-2.70298,53.16336,47,920018024.621178,335602.059504914,d68bf3b0-94d1-474c-b3f3-2bf305732701
E06000051,Shropshire,350227,302960,-2.73667,52.62212,48,3197275322.15964,580599.506306279,273f499b-e132-47e4-85c9-e6d448418aaa
E06000052,Cornwall,212497,64493,-4.64254,50.45022,49,3548939126.92263,1241696.51353641,405a6d3c-1d39-4a3c-a769-b62a047a09a5
E06000053,Isles of Scilly,91327,11447,-6.30217,49.92332,50,16317752.1032921,117979.163844593,770dfc46-55b3-47f9-b6d4-57e3d4be7659
E06000054,Wiltshire,405209,158863,-1.92661,51.32883,51,3255338105.52649,401997.073738198,b5c12d25-8b95-4bf9-8e84-63acf37088f6
E06000055,Bedford,505721,256463,-0.45463,52.19628,52,476408313.581512,131719.277394327,491f35b8-c21a-4771-b551-d17736350e99
E06000056,Central Bedfordshire,504615,234492,-0.47754,51.99903,53,715665436.200249,232685.180099795,ec824b3f-28b2-4616-8fac-b723b7987469
E06000057,Northumberland,395322,600700,-2.07523,55.30038,54,5032312670.59779,606236.97163611,7704eb34-1432-470c-8de6-7b5d038a125f
