Code,Name,Geography,Mid-2021,Mid-2011,Mid-2001
K02000001,UNITED KINGDOM,Country,"67,026,292","63,285,145","59,113,016"
K03000001,GREAT BRITAIN,Country,"65,121,729","61,470,827","57,424,178"
K04000001,ENGLAND AND WALES,Country,"59,641,829","56,170,927","52,359,978"
E92000001,ENGLAND,Country,"56,536,419","53,107,169","49,449,746"
E12000001,NORTH EAST,Region,"2,646,772","2,596,441","2,540,090"
E06000047,County Durham,Unitary Authority,"521,346","512,994","493,678"
E06000005,Darlington,Unitary Authority,"108,222","105,584","97,894"
E06000001,Hartlepool,Unitary Authority,"92,571","92,088","90,152"
E06000002,Middlesbrough,Unitary Authority,"143,734","138,368","141,233"
E06000057,Northumberland,Unitary Authority,"321,558","316,278","307,363"
E06000003,Redcar and Cleveland,Unitary Authority,"136,616","135,164","139,159"
E06000004,Stockton-on-Tees,Unitary Authority,"197,030","191,824","183,795"
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,125,695","1,104,141","1,086,816"
E08000037,Gateshead,Metropolitan District,"196,154","200,349","191,178"
E08000021,Newcastle upon Tyne,Metropolitan District,"298,264","279,092","266,241"
E08000022,North Tyneside,Metropolitan District,"209,151","201,206","192,003"
E08000023,South Tyneside,Metropolitan District,"147,915","148,164","152,793"
E08000024,Sunderland,Metropolitan District,"274,211","275,330","284,601"
E12000002,NORTH WEST,Region,"7,422,295","7,055,961","6,772,985"
E06000008,Blackburn with Darwen,Unitary Authority,"154,922","147,657","138,453"
E06000009,Blackpool,Unitary Authority,"140,954","142,080","142,270"
E06000049,Cheshire East,Unitary Authority,"400,528","370,736","352,104"
E06000050,Cheshire West and Chester,Unitary Authority,"357,699","329,526","322,154"
E06000006,Halton,Unitary Authority,"128,577","125,722","118,559"
E06000007,Warrington,Unitary Authority,"211,227","202,709","191,202"
E10000006,Cumbria,County,"500,821","499,817","487,795"
E07000026,Allerdale,Non-metropolitan District,"96,384","96,444","93,544"
E07000027,Barrow-in-Furness,Non-metropolitan District,"67,375","69,056","71,960"
E07000028,Carlisle,Non-metropolitan District,"110,255","107,475","100,764"
E07000029,Copeland,Non-metropolitan District,"67,176","70,627","69,251"
E07000030,Eden,Non-metropolitan District,"54,955","52,502","49,879"
E07000031,South Lakeland,Non-metropolitan District,"104,676","103,713","102,397"
E11000001,Greater Manchester (Met County),Metropolitan County,"2,868,387","2,685,386","2,516,096"
E08000001,Bolton,Metropolitan District,"296,041","277,296","261,302"
E08000002,Bury,Metropolitan District,"193,823","185,422","180,655"
E08000003,Manchester,Metropolitan District,"549,853","502,902","422,915"
E08000004,Oldham,Metropolitan District,"242,072","225,157","218,537"
E08000005,Rochdale,Metropolitan District,"224,087","211,929","206,440"
E08000006,Salford,Metropolitan District,"270,764","234,487","216,978"
E08000007,Stockport,Metropolitan District,"295,243","283,253","284,557"
E08000008,Tameside,Metropolitan District,"231,199","219,727","213,087"
E08000009,Trafford,Metropolitan District,"235,546","227,091","210,172"
E08000010,Wigan,Metropolitan District,"329,759","318,122","301,453"
E10000017,Lancashire,County,"1,236,035","1,171,558","1,136,542"
E07000117,Burnley,Non-metropolitan District,"94,721","87,032","89,521"
E07000118,Chorley,Non-metropolitan District,"117,937","107,591","100,559"
E07000119,Fylde,Non-metropolitan District,"81,845","76,098","73,340"
E07000120,Hyndburn,Non-metropolitan District,"82,261","80,549","81,495"
E07000121,Lancaster,Non-metropolitan District,"142,162","137,823","134,049"
E07000122,Pendle,Non-metropolitan District,"95,789","89,576","89,277"
E07000123,Preston,Non-metropolitan District,"147,617","140,054","130,372"
E07000124,Ribble Valley,Non-metropolitan District,"61,907","57,292","54,053"
E07000125,Rossendale,Non-metropolitan District,"71,010","68,053","65,647"
E07000126,South Ribble,Non-metropolitan District,"111,204","109,181","103,949"
E07000127,West Lancashire,Non-metropolitan District,"117,125","110,617","108,480"
E07000128,Wyre,Non-metropolitan District,"112,457","107,692","105,800"
E11000002,Merseyside (Met County),Metropolitan County,"1,423,145","1,380,770","1,367,810"
E08000011,Knowsley,Metropolitan District,"154,974","145,903","151,238"
E08000012,Liverpool,Metropolitan District,"484,488","465,656","441,858"
E08000014,Sefton,Metropolitan District,"279,692","273,969","282,884"
E08000013,St. Helens,Metropolitan District,"183,391","175,405","176,826"
E08000015,Wirral,Metropolitan District,"320,600","319,837","315,004"
E12000003,YORKSHIRE AND THE HUMBER,Region,"5,481,431","5,288,212","4,976,643"
E06000011,East Riding of Yorkshire,Unitary Authority,"343,143","334,673","314,854"
E06000010,"Kingston upon Hull, City of",Unitary Authority,"266,463","256,123","249,913"
